"city","live_pincode","has_trainer","nearest_live_with_trainer"
"kolkata","700058","NO","700010"
"kolkata","700059","NO","700010"
"kolkata","700060","NO","700010"
"kolkata","700061","NO","700010"
"kolkata","700062","NO","700010"
"kolkata","700063","NO","700010"
"kolkata","700064","NO","700010"
"kolkata","700065","NO","700010"
"kolkata","700066","NO","700010"
"kolkata","700067","NO","700010"
"kolkata","700068","NO","700010"
"kolkata","700069","NO","700010"
"kolkata","700070","NO","700010"
"kolkata","700071","NO","700010"
"kolkata","700072","NO","700010"
"kolkata","700073","NO","700010"
"kolkata","700074","NO","700010"
"kolkata","700075","NO","700010"
"kolkata","700076","NO","700010"
"kolkata","700077","NO","700010"
"kolkata","700078","NO","700010"
"kolkata","700079","NO","700010"
"kolkata","700080","NO","700010"
"kolkata","700081","NO","700010"
"kolkata","700082","NO","700010"
"kolkata","700083","NO","700010"
"kolkata","700084","NO","700010"
"kolkata","700085","NO","700010"
"kolkata","700086","NO","700010"
"kolkata","700087","NO","700010"
"kolkata","700088","NO","700010"
"kolkata","700089","NO","700010"
"kolkata","700090","NO","700010"
"kolkata","700091","NO","700010"
"kolkata","700092","NO","700010"
"kolkata","700093","NO","700010"
"kolkata","700094","NO","700010"
"kolkata","700095","NO","700010"
"kolkata","700096","NO","700010"
"kolkata","700097","NO","700010"
"kolkata","700098","NO","700010"
"kolkata","700099","NO","700010"
"kolkata","700100","NO","700010"
"kolkata","700101","NO","700010"
"kolkata","700102","NO","700010"
"kolkata","700103","NO","700010"
"kolkata","700104","NO","700010"
"kolkata","700105","NO","700010"
"kolkata","700106","NO","700010"
"kolkata","700107","NO","700010"
"kolkata","700108","NO","700010"
"kolkata","700109","NO","700010"
"kolkata","700110","NO","700010"
"kolkata","700111","NO","700010"
"kolkata","700112","NO","700010"
"kolkata","700113","NO","700010"
"kolkata","700114","NO","700010"
"kolkata","700115","NO","700010"
"kolkata","700116","NO","700010"
"kolkata","700117","NO","700010"
"kolkata","700118","NO","700010"
"kolkata","700119","NO","700010"
"kolkata","700120","NO","700010"
"kolkata","700121","NO","700010"
"kolkata","700122","NO","700010"
"kolkata","700123","NO","700010"
"kolkata","700124","NO","700010"
"kolkata","700125","NO","700010"
"kolkata","700126","NO","700010"
"kolkata","700127","NO","700010"
"kolkata","700128","NO","700010"
"kolkata","700129","NO","700010"
"kolkata","700130","NO","700010"
"kolkata","700131","NO","700010"
"kolkata","700132","NO","700010"
"kolkata","700133","NO","700010"
"kolkata","700134","NO","700010"
"kolkata","700135","NO","700010"
"kolkata","700136","NO","700010"
"kolkata","700137","NO","700010"
"kolkata","700138","NO","700010"
"kolkata","700139","NO","700010"
"kolkata","700140","NO","700010"
"kolkata","700141","NO","700010"
"kolkata","700142","NO","700010"
"kolkata","700143","NO","700010"
"kolkata","700144","NO","700010"
"kolkata","700145","NO","700010"
"kolkata","700146","NO","700010"
"kolkata","700147","NO","700010"
"kolkata","700148","NO","700010"
"kolkata","700149","NO","700010"
"kolkata","700150","NO","700010"
"kolkata","700151","NO","700010"
"kolkata","700152","NO","700010"
"kolkata","700153","NO","700010"
"kolkata","700154","NO","700010"
"kolkata","700155","NO","700010"
"kolkata","700156","NO","700010"
"kolkata","700157","NO","700010"
"kolkata","700158","NO","700010"
"kolkata","700159","NO","700010"
"kolkata","700160","NO","700010"
"noida","201311","NO","201310"
"noida","201312","NO","201310"
"noida","201313","NO","201310"
"noida","201314","NO","201310"
"noida","201315","NO","201310"
"noida","201316","NO","201310"
"noida","201317","NO","201310"
"noida","201318","NO","201310"
"noida","201319","NO","201310"
"noida","201320","NO","201310"
"noida","201321","NO","201310"
"gurgaon","122011","NO","122010"
"gurgaon","122012","NO","122010"
"gurgaon","122013","NO","122010"
"gurgaon","122014","NO","122010"
"gurgaon","122015","NO","122010"
"gurgaon","122016","NO","122010"
"gurgaon","122017","NO","122010"
"gurgaon","122018","NO","122010"
"gurgaon","122051","NO","122010"
"gurgaon","122052","NO","122010"
"gurgaon","122053","NO","122010"
"gurgaon","122054","NO","122010"
"gurgaon","122055","NO","122010"
"gurgaon","122056","NO","122010"
"gurgaon","122057","NO","122010"
"gurgaon","122058","NO","122010"
"gurgaon","122059","NO","122010"
"gurgaon","122060","NO","122010"
"gurgaon","122061","NO","122010"
"gurgaon","122062","NO","122010"
"gurgaon","122063","NO","122010"
"gurgaon","122064","NO","122010"
"gurgaon","122065","NO","122010"
"gurgaon","122066","NO","122010"
"gurgaon","122067","NO","122010"
"gurgaon","122068","NO","122010"
"gurgaon","122069","NO","122010"
"gurgaon","122070","NO","122010"
"gurgaon","122071","NO","122010"
"gurgaon","122072","NO","122010"
"gurgaon","122073","NO","122010"
"gurgaon","122074","NO","122010"
"gurgaon","122075","NO","122010"
"gurgaon","122076","NO","122010"
"gurgaon","122077","NO","122010"
"gurgaon","122078","NO","122010"
